,Unnamed: 0,Friday_Evening_Presence_Rate,Overtime_Days_8.5h,Avg_Daily_Hours,TotalWorkingYears,YearsWithCurrManager,Overtime_Days_10h,YearsAtCompany,Early_Leave_Rate,JobSatisfaction,EnvironmentSatisfaction,BusinessTravel,Age_Group,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,Department_Research & Development,Department_Sales
0,0,-0.806541705143905,-0.5851566848196422,-0.24409549570323538,-1.32192908244348,-1.1558036444387056,-0.36322553258140355,-0.9809029235822636,-0.606503685116534,1.1561711724855395,0.2521718969457474,1,3.0,False,False,False,False,False,False,False,False,False,True
1,1,-0.22292985973025864,-0.5642873859372531,0.01356282553987781,-0.6788000691857801,-0.03451583231206168,-0.36322553258140355,-0.3278561402190718,-0.6639900237968537,-0.6638234270722795,0.2521718969457474,2,1.0,False,False,False,False,False,True,False,False,True,False
2,2,-0.806541705143905,-0.5851566848196422,-0.5130146425963431,-0.8074258718373201,-0.3148377853437227,-0.36322553258140355,-0.3278561402190718,-0.3190719917149343,-0.6638234270722795,-0.6653842627330857,2,1.0,False,False,False,False,False,False,True,False,True,False
3,3,-0.7534860828335745,-0.5851566848196422,-0.3783812193414679,0.22158054937499974,0.2458061207195993,-0.36322553258140355,0.16192894730332202,-0.534645761766134,1.1561711724855395,1.1697280566245805,0,2.0,True,False,False,False,False,False,False,False,True,False
4,4,0.3606819856833877,-0.39733299487814006,0.22786056661971113,-0.2929226612311601,-0.03451583231206168,-0.36322553258140355,-0.16459444437827386,-0.6783616084669336,-1.5738207268511888,1.1697280566245805,1,1.0,False,False,False,False,False,False,True,False,True,False
5,5,1.6870725434416745,1.8878552327434697,2.3095527993039555,2.1509675891480993,0.8064500267829213,3.19489791148806,-0.0013327485374759176,-0.6783616084669336,-0.6638234270722795,0.2521718969457474,1,3.0,False,False,False,False,True,False,False,False,True,False
6,6,-0.806541705143905,-0.5851566848196422,-0.5799216383170563,-0.8074258718373201,-1.1558036444387056,-0.36322553258140355,-1.1441646194230615,0.06896079437722492,0.24617387270663002,-1.5829404224119188,1,1.0,False,False,False,False,False,False,True,False,True,False
7,7,-0.806541705143905,-0.5851566848196422,-0.7276212649321447,-0.16429685857962018,-1.1558036444387056,-0.36322553258140355,-1.1441646194230615,0.3563924877788245,-0.6638234270722795,-1.5829404224119188,1,1.0,False,False,False,False,False,False,True,False,True,False
8,8,-0.7534860828335745,-0.5851566848196422,-0.34643096403909107,-0.16429685857962018,1.0867719798145823,-0.36322553258140355,0.32519064314412,-0.5777605157763741,1.1561711724855395,-0.6653842627330857,1,1.0,False,True,False,False,False,False,False,False,True,False
9,9,-0.806541705143905,-0.5851566848196422,-0.46313657109513795,-0.6788000691857801,0.2458061207195993,-0.36322553258140355,-0.16459444437827386,-0.3621867457251744,-1.5738207268511888,-0.6653842627330857,0,1.0,False,True,False,False,False,False,False,False,True,False
10,10,1.15651632033836,0.2809192187995067,0.5243130037971598,1.2505869705873196,1.6474158858779044,-0.36322553258140355,2.1210692973928973,-0.6783616084669336,1.1561711724855395,0.2521718969457474,1,3.0,False,True,False,False,False,False,False,False,True,False
11,11,-0.806541705143905,-0.5851566848196422,-0.47144362069746043,0.6074579573296197,1.9277378389095654,-0.36322553258140355,1.3047608181889077,-0.41967308440549417,1.1561711724855395,0.2521718969457474,1,2.0,False,True,False,False,False,False,False,False,True,False
12,12,1.580961298821012,1.7939433877727187,1.1942965993424886,3.3085998130119587,2.4883817449728873,-0.36322553258140355,4.733256430845664,-0.6783616084669336,-1.5738207268511888,1.1697280566245805,1,3.0,False,False,False,False,False,False,True,False,True,False
13,13,1.634016921131343,1.8669859338610806,1.2678084733119896,-0.16429685857962018,1.3670939328462433,-0.2567859423741974,0.4884523389849179,-0.6783616084669336,-0.6638234270722795,-1.5829404224119188,0,3.0,False,False,False,False,False,True,False,False,True,False
14,14,-0.806541705143905,-0.5851566848196422,-1.2021210095659671,-0.8074258718373201,-0.03451583231206168,-0.36322553258140355,-0.3278561402190718,2.296556418239621,1.1561711724855395,1.1697280566245805,1,1.0,False,False,False,True,False,False,False,False,True,False
15,15,-0.806541705143905,-0.5851566848196422,-0.7428770498814098,-0.5501742665342401,-0.8754816914070447,-0.36322553258140355,-0.3278561402190718,0.3995072417890643,1.1561711724855395,0.2521718969457474,1,2.0,False,False,False,False,False,False,False,False,True,False
16,16,-0.806541705143905,-0.5851566848196422,-0.8071457092570928,-1.0646774771404,-1.1558036444387056,-0.36322553258140355,-0.6543795319006677,0.3851356571189844,0.24617387270663002,1.1697280566245805,1,3.0,False,True,False,False,False,False,False,False,True,False
17,17,1.6870725434416745,1.981767077714221,2.4723862151294775,0.4788321546780797,-0.5951597383753837,3.3773657804146993,-0.3278561402190718,-0.6783616084669336,1.1561711724855395,-1.5829404224119188,0,2.0,False,False,False,False,False,False,True,False,True,False
18,18,-0.806541705143905,-0.5851566848196422,-0.5525503966072656,-0.16429685857962018,-0.5951597383753837,-0.36322553258140355,-0.0013327485374759176,-0.1466129756739748,-0.6638234270722795,-0.6653842627330857,1,2.0,False,False,False,False,False,False,False,True,False,True
19,19,1.5279056765106804,1.8148126866551078,1.1884365719025927,-0.4215484638827001,0.8064500267829213,-0.34801987683751695,0.16192894730332202,-0.6783616084669336,-1.5738207268511888,-1.5829404224119188,1,2.0,False,False,True,False,False,False,False,False,True,False
20,20,-0.32904110435092243,-0.5851566848196422,-0.08208629706553174,-0.6788000691857801,-0.03451583231206168,-0.36322553258140355,-0.16459444437827386,-0.6783616084669336,-0.6638234270722795,0.2521718969457474,2,1.0,False,True,False,False,False,False,False,False,True,False
21,21,-0.806541705143905,-0.5851566848196422,-1.2626142669090124,2.1509675891480993,0.5261280737512604,-0.36322553258140355,0.4884523389849179,2.325299587579781,-0.6638234270722795,-1.5829404224119188,1,3.0,False,False,False,False,False,True,False,False,False,True
22,22,1.0504050757176966,0.24961527047592302,0.5232855588360724,1.2505869705873196,-0.3148377853437227,-0.36322553258140355,-0.3278561402190718,-0.6783616084669336,0.24617387270663002,0.2521718969457474,1,3.0,False,False,False,False,False,True,False,False,True,False
23,23,-0.806541705143905,-0.5851566848196422,-0.6668963899148983,-0.16429685857962018,0.5261280737512604,-0.36322553258140355,2.1210692973928973,0.34202090310874456,0.24617387270663002,-0.6653842627330857,1,2.0,False,False,False,True,False,False,False,False,True,False
24,24,-0.806541705143905,-0.5851566848196422,-0.45337730467721327,-0.16429685857962018,1.3670939328462433,-0.36322553258140355,0.4884523389849179,-0.3765583303952543,1.1561711724855395,-0.6653842627330857,2,1.0,False,True,False,False,False,False,False,False,True,False
25,25,1.580961298821012,1.9191591810670534,1.2395075781199676,0.09295474672345977,1.0867719798145823,-0.33281422109363035,0.4884523389849179,-0.6783616084669336,1.1561711724855395,-0.6653842627330857,1,3.0,False,False,False,False,False,True,False,False,True,False
26,26,1.634016921131343,1.908724531625859,2.444626022474536,-0.8074258718373201,-0.3148377853437227,3.270926190207493,-0.3278561402190718,-0.6783616084669336,-1.5738207268511888,-1.5829404224119188,2,1.0,False,False,True,False,False,False,False,False,True,False
27,27,-0.2759854820405906,-0.5851566848196422,-0.07188930793844996,0.7360837599811596,0.8064500267829213,-0.36322553258140355,1.6312842098705034,-0.6496184391267738,1.1561711724855395,1.1697280566245805,1,2.0,False,False,False,False,False,True,False,False,False,True
28,28,1.634016921131343,1.9504631293906372,2.4449709685513303,0.9933353652842396,-1.1558036444387056,3.3317488131830393,-0.9809029235822636,-0.6783616084669336,0.24617387270663002,1.1697280566245805,2,2.0,False,False,False,False,False,True,False,False,True,False
29,29,-0.806541705143905,-0.5851566848196422,-0.6487873334986108,-0.16429685857962018,-0.5951597383753837,-0.36322553258140355,-0.8176412277414656,0.11207554838746468,1.1561711724855395,1.1697280566245805,1,2.0,False,False,True,False,False,False,False,False,False,True
30,30,1.6870725434416745,1.8982898821846643,1.7971826901652175,-0.8074258718373201,-0.5951597383753837,1.8568002060260393,-0.6543795319006677,-0.6783616084669336,-0.6638234270722795,-1.5829404224119188,1,1.0,False,False,False,False,False,True,False,False,True,False
31,31,-0.806541705143905,-0.5851566848196422,-0.7395258476829868,-0.8074258718373201,-0.5951597383753837,-0.36322553258140355,-0.3278561402190718,0.5432230884898643,1.1561711724855395,1.1697280566245805,1,1.0,True,False,False,False,False,False,False,False,True,False
32,32,1.5279056765106804,1.8565512844198861,2.102212454393808,1.3792127732388595,-0.5951597383753837,3.0276356983053074,-0.6543795319006677,-0.6783616084669336,-1.5738207268511888,0.2521718969457474,2,3.0,False,False,False,False,False,True,False,False,True,False
33,33,-0.806541705143905,-0.5851566848196422,-1.132580175613584,-0.16429685857962018,0.8064500267829213,-0.36322553258140355,0.16192894730332202,2.152840571538821,-0.6638234270722795,0.2521718969457474,1,2.0,False,False,False,False,False,False,True,False,False,True
34,34,-0.806541705143905,-0.5851566848196422,-0.8315087152431276,-1.19330327979194,-0.5951597383753837,-0.36322553258140355,-0.8176412277414656,0.600709427170184,-0.6638234270722795,1.1697280566245805,2,1.0,False,False,False,False,False,False,True,False,True,False
35,35,1.634016921131343,1.8356819855374968,1.9186801805470755,-0.4215484638827001,-0.03451583231206168,2.5258490587570495,0.16192894730332202,-0.6783616084669336,1.1561711724855395,1.1697280566245805,1,1.0,False,False,True,False,False,False,False,False,True,False
36,36,1.634016921131343,1.9400284799494425,1.7026642929725972,-0.9360516744888601,-0.5951597383753837,1.461453156684988,-0.49111783605986975,-0.6783616084669336,1.1561711724855395,-0.6653842627330857,2,2.0,False,True,False,False,False,False,False,False,False,True
37,37,-0.806541705143905,-0.5851566848196422,-1.2842867589721978,1.5078385758903994,1.0867719798145823,-0.36322553258140355,2.1210692973928973,2.325299587579781,-0.6638234270722795,0.2521718969457474,2,2.0,False,False,False,False,True,False,False,False,False,True
38,38,-0.806541705143905,-0.5851566848196422,-0.6900548180284103,-1.4505548850950198,-1.1558036444387056,-0.36322553258140355,-1.1441646194230615,0.12644713305754493,0.24617387270663002,0.2521718969457474,1,3.0,False,False,False,False,False,False,True,False,True,False
39,39,-0.010707370488933993,-0.5642873859372531,-0.007932585934283571,0.09295474672345977,1.3670939328462433,-0.36322553258140355,0.6517140348257159,-0.6783616084669336,-0.6638234270722795,0.2521718969457474,1,2.0,False,True,False,False,False,False,False,False,False,True
40,40,-0.7534860828335745,-0.5851566848196422,-0.37013332113430236,-0.9360516744888601,-1.1558036444387056,-0.36322553258140355,-0.9809029235822636,-0.534645761766134,0.24617387270663002,0.2521718969457474,2,2.0,False,False,False,False,False,False,True,False,True,False
41,41,-0.38209672666125427,-0.5851566848196422,-0.0791082389985515,0.22158054937499974,-0.5951597383753837,-0.36322553258140355,-0.49111783605986975,-0.6639900237968537,-0.6638234270722795,1.1697280566245805,1,3.0,False,True,False,False,False,False,False,False,True,False
42,42,-0.806541705143905,-0.5851566848196422,-0.5582296960614821,1.3792127732388595,-0.03451583231206168,-0.36322553258140355,2.4475926890744932,-0.26158565303461456,-0.6638234270722795,1.1697280566245805,1,2.0,False,True,False,False,False,False,False,False,True,False
43,43,-0.806541705143905,-0.5851566848196422,-0.5162692520009334,-1.4505548850950198,-1.1558036444387056,-0.36322553258140355,-1.1441646194230615,-0.21847089902437447,0.24617387270663002,1.1697280566245805,1,3.0,False,False,False,False,False,True,False,False,False,True
44,44,-0.806541705143905,-0.5851566848196422,-0.37249051462978583,-0.2929226612311601,0.8064500267829213,-0.36322553258140355,0.16192894730332202,-0.5490173464362139,-1.5738207268511888,-0.6653842627330857,1,1.0,False,False,False,False,False,False,False,True,True,False
45,45,-0.7004304605232426,-0.5851566848196422,-0.3939036850623003,-0.16429685857962018,0.8064500267829213,-0.36322553258140355,0.16192894730332202,-0.505902592425974,1.1561711724855395,-0.6653842627330857,1,1.0,False,False,False,True,False,False,False,False,True,False
46,46,-0.4351523489715847,-0.5851566848196422,-0.04774623905155746,0.9933353652842396,0.8064500267829213,-0.36322553258140355,1.7945459057113013,-0.6783616084669336,1.1561711724855395,0.2521718969457474,1,2.0,True,False,False,False,False,False,False,False,False,True
47,47,0.2545707410627238,-0.5538527364960585,0.09848361654721938,-0.0356710559280802,1.0867719798145823,-0.36322553258140355,0.32519064314412,-0.6783616084669336,-0.6638234270722795,-0.6653842627330857,0,2.0,False,False,False,False,False,False,True,False,True,False
48,48,-0.806541705143905,-0.5851566848196422,-0.5417228889547275,0.22158054937499974,1.0867719798145823,-0.36322553258140355,0.9782374265073117,-0.2759572377046945,0.24617387270663002,1.1697280566245805,1,1.0,False,True,False,False,False,False,False,False,False,True
49,49,-0.806541705143905,-0.5851566848196422,-0.5927152157962141,0.9933353652842396,-0.8754816914070447,-0.36322553258140355,0.4884523389849179,-0.1466129756739748,-0.6638234270722795,-1.5829404224119188,1,2.0,False,False,False,False,False,True,False,False,True,False
50,50,1.6870725434416745,1.9400284799494425,2.3836958554700507,0.09295474672345977,-0.5951597383753837,3.301337501695266,-0.3278561402190718,-0.6783616084669336,0.24617387270663002,1.1697280566245805,0,3.0,False,False,False,True,False,False,False,False,True,False
51,51,1.634016921131343,1.8669859338610806,1.06316585114673,-0.6788000691857801,-0.3148377853437227,-0.36322553258140355,-0.3278561402190718,-0.6783616084669336,1.1561711724855395,0.2521718969457474,1,1.0,False,False,False,False,False,True,False,False,True,False
